op_player1,op_player2,op_team,op_partnership,op_winner,op_looser
CH Gayle,MS Bisla,Royal Challengers Bangalore,26,Mumbai Indians,Royal Challengers Bangalore
BB McCullum,DR Smith,Chennai Super Kings,42,Chennai Super Kings,Kolkata Knight Riders
G Gambhir,RV Uthappa,Kolkata Knight Riders,1,Chennai Super Kings,Kolkata Knight Riders
CH Gayle,SC Ganguly,Kolkata Knight Riders,52,Royal Challengers Bangalore,Kolkata Knight Riders
JH Kallis,S Sriram,Royal Challengers Bangalore,11,Royal Challengers Bangalore,Kolkata Knight Riders
AM Rahane,R Dravid,Rajasthan Royals,62,Rajasthan Royals,Royal Challengers Bangalore
CH Gayle,MA Agarwal,Royal Challengers Bangalore,42,Rajasthan Royals,Royal Challengers Bangalore
JH Kallis,W Jaffer,Royal Challengers Bangalore,10,Rajasthan Royals,Royal Challengers Bangalore
GC Smith,NV Ojha,Rajasthan Royals,27,Rajasthan Royals,Royal Challengers Bangalore
GC Smith,PC Valthaty,Rajasthan Royals,8,Draw,Draw
BB McCullum,CH Gayle,Kolkata Knight Riders,25,Draw,Draw
BB McCullum,CH Gayle,Kolkata Knight Riders,15,Draw,Draw
AD Mascarenhas,YK Pathan,Rajasthan Royals,18,Draw,Draw
KL Rahul,V Kohli,Royal Challengers Bangalore,27,Royal Challengers Bangalore,Rising Pune Supergiants
AM Rahane,F du Plessis,Rising Pune Supergiants,12,Royal Challengers Bangalore,Rising Pune Supergiants
Mandeep Singh,N Saini,Kings XI Punjab,35,Mumbai Indians,Kings XI Punjab
JEC Franklin,SR Tendulkar,Mumbai Indians,52,Mumbai Indians,Kings XI Punjab
G Gambhir,JH Kallis,Kolkata Knight Riders,4,Kolkata Knight Riders,Mumbai Indians
AP Tare,MEK Hussey,Mumbai Indians,24,Kolkata Knight Riders,Mumbai Indians
DA Warner,V Sehwag,Delhi Daredevils,24,Delhi Daredevils,Rajasthan Royals
MJ Lumb,NV Ojha,Rajasthan Royals,0,Delhi Daredevils,Rajasthan Royals
BB McCullum,JH Kallis,Kolkata Knight Riders,14,Delhi Daredevils,Kolkata Knight Riders
AJ Finch,V Sehwag,Delhi Daredevils,49,Delhi Daredevils,Kolkata Knight Riders
DPMD Jayawardene,VVS Laxman,Kochi Tuskers Kerala,26,Rajasthan Royals,Kochi Tuskers Kerala
R Dravid,SR Watson,Rajasthan Royals,71,Rajasthan Royals,Kochi Tuskers Kerala
MEK Hussey,WP Saha,Chennai Super Kings,103,Chennai Super Kings,Kolkata Knight Riders
G Gambhir,MS Bisla,Kolkata Knight Riders,32,Chennai Super Kings,Kolkata Knight Riders
SR Tendulkar,ST Jayasuriya,Mumbai Indians,19,Mumbai Indians,Kolkata Knight Riders
CH Gayle,SC Ganguly,Kolkata Knight Riders,1,Mumbai Indians,Kolkata Knight Riders
DA Warner,V Sehwag,Delhi Daredevils,33,Royal Challengers Bangalore,Delhi Daredevils
CH Gayle,TM Dilshan,Royal Challengers Bangalore,1,Royal Challengers Bangalore,Delhi Daredevils
AM Rahane,R Dravid,Rajasthan Royals,71,Delhi Daredevils,Rajasthan Royals
DPMD Jayawardene,V Sehwag,Delhi Daredevils,0,Delhi Daredevils,Rajasthan Royals
AJ Finch,RV Uthappa,Pune Warriors,38,Pune Warriors,Delhi Daredevils
DA Warner,DPMD Jayawardene,Delhi Daredevils,17,Pune Warriors,Delhi Daredevils
DJ Bravo,ST Jayasuriya,Mumbai Indians,7,Chennai Super Kings,Mumbai Indians
ML Hayden,PA Patel,Chennai Super Kings,0,Chennai Super Kings,Mumbai Indians
MA Agarwal,SS Iyer,Delhi Daredevils,45,Rajasthan Royals,Delhi Daredevils
AM Rahane,SV Samson,Rajasthan Royals,37,Rajasthan Royals,Delhi Daredevils
AM Rahane,SS Tiwary,Rising Pune Supergiants,13,Gujarat Lions,Rising Pune Supergiants
BB McCullum,DR Smith,Gujarat Lions,93,Gujarat Lions,Rising Pune Supergiants
MV Boucher,SP Goswami,Royal Challengers Bangalore,35,Mumbai Indians,Royal Challengers Bangalore
SR Tendulkar,ST Jayasuriya,Mumbai Indians,96,Mumbai Indians,Royal Challengers Bangalore
DPMD Jayawardene,V Sehwag,Delhi Daredevils,4,Kings XI Punjab,Delhi Daredevils
AC Gilchrist,Mandeep Singh,Kings XI Punjab,6,Kings XI Punjab,Delhi Daredevils
A Chopra,BJ Hodge,Kolkata Knight Riders,9,Kolkata Knight Riders,Royal Challengers Bangalore
J Arunkumar,S Chanderpaul,Royal Challengers Bangalore,17,Kolkata Knight Riders,Royal Challengers Bangalore
PA Patel,SP Fleming,Chennai Super Kings,4,Deccan Chargers,Chennai Super Kings
AC Gilchrist,HH Gibbs,Deccan Chargers,24,Deccan Chargers,Chennai Super Kings
BB McCullum,DR Smith,Chennai Super Kings,29,Royal Challengers Bangalore,Chennai Super Kings
CH Gayle,PA Patel,Royal Challengers Bangalore,14,Royal Challengers Bangalore,Chennai Super Kings
AM Rahane,R Dravid,Rajasthan Royals,77,Rajasthan Royals,Kings XI Punjab
AC Gilchrist,PC Valthaty,Kings XI Punjab,36,Rajasthan Royals,Kings XI Punjab
F du Plessis,M Vijay,Chennai Super Kings,15,Chennai Super Kings,Deccan Chargers
PA Patel,S Dhawan,Deccan Chargers,9,Chennai Super Kings,Deccan Chargers
AC Gilchrist,VVS Laxman,Deccan Chargers,27,Kings XI Punjab,Deccan Chargers
RR Sarwan,SE Marsh,Kings XI Punjab,41,Kings XI Punjab,Deccan Chargers
SR Tendulkar,ST Jayasuriya,Mumbai Indians,39,Mumbai Indians,Deccan Chargers
AC Gilchrist,Shahid Afridi,Deccan Chargers,7,Mumbai Indians,Deccan Chargers
R McLaren,SR Tendulkar,Mumbai Indians,34,Mumbai Indians,Royal Challengers Bangalore
JH Kallis,MK Pandey,Royal Challengers Bangalore,30,Mumbai Indians,Royal Challengers Bangalore
AC Gilchrist,HH Gibbs,Deccan Chargers,0,Deccan Chargers,Royal Challengers Bangalore
JH Kallis,MK Pandey,Royal Challengers Bangalore,20,Deccan Chargers,Royal Challengers Bangalore
M Vijay,ML Hayden,Chennai Super Kings,16,Chennai Super Kings,Kolkata Knight Riders
BJ Hodge,MK Tiwary,Kolkata Knight Riders,0,Chennai Super Kings,Kolkata Knight Riders
G Gambhir,RV Uthappa,Kolkata Knight Riders,21,Mumbai Indians,Kolkata Knight Riders
PA Patel,RG Sharma,Mumbai Indians,53,Mumbai Indians,Kolkata Knight Riders
DA Warner,G Gambhir,Delhi Daredevils,0,Deccan Chargers,Delhi Daredevils
AC Gilchrist,HH Gibbs,Deccan Chargers,22,Deccan Chargers,Delhi Daredevils
RE Levi,TL Suman,Mumbai Indians,28,Mumbai Indians,Rajasthan Royals
AM Rahane,R Dravid,Rajasthan Royals,7,Mumbai Indians,Rajasthan Royals
JD Ryder,TD Paine,Pune Warriors,16,Mumbai Indians,Pune Warriors
JEC Franklin,SR Tendulkar,Mumbai Indians,9,Mumbai Indians,Pune Warriors
DA Warner,V Sehwag,Delhi Daredevils,5,Chennai Super Kings,Delhi Daredevils
M Vijay,MEK Hussey,Chennai Super Kings,75,Chennai Super Kings,Delhi Daredevils
MJ Lumb,S Sohal,Deccan Chargers,0,Deccan Chargers,Mumbai Indians
AC Blizzard,SR Tendulkar,Mumbai Indians,9,Deccan Chargers,Mumbai Indians
GC Smith,SA Asnodkar,Rajasthan Royals,14,Delhi Daredevils,Rajasthan Royals
G Gambhir,V Sehwag,Delhi Daredevils,42,Delhi Daredevils,Rajasthan Royals
M Vijay,MEK Hussey,Chennai Super Kings,30,Chennai Super Kings,Delhi Daredevils
DA Warner,V Sehwag,Delhi Daredevils,11,Chennai Super Kings,Delhi Daredevils
Mohammad Hafeez,Salman Butt,Kolkata Knight Riders,7,Rajasthan Royals,Kolkata Knight Riders
GC Smith,SA Asnodkar,Rajasthan Royals,16,Rajasthan Royals,Kolkata Knight Riders
M Vijay,V Sehwag,Kings XI Punjab,33,Delhi Daredevils,Kings XI Punjab
MA Agarwal,SS Iyer,Delhi Daredevils,23,Delhi Daredevils,Kings XI Punjab
MS Bisla,RS Bopara,Kings XI Punjab,129,Royal Challengers Bangalore,Kings XI Punjab
JH Kallis,MK Pandey,Royal Challengers Bangalore,74,Royal Challengers Bangalore,Kings XI Punjab
BJ Haddin,JH Kallis,Kolkata Knight Riders,44,Royal Challengers Bangalore,Kolkata Knight Riders
CH Gayle,TM Dilshan,Royal Challengers Bangalore,123,Royal Challengers Bangalore,Kolkata Knight Riders
G Gambhir,V Sehwag,Delhi Daredevils,7,Delhi Daredevils,Deccan Chargers
AC Gilchrist,Shahid Afridi,Deccan Chargers,21,Delhi Daredevils,Deccan Chargers
RR Pant,SV Samson,Delhi Daredevils,13,Rising Pune Supergiants,Delhi Daredevils
AM Rahane,UT Khawaja,Rising Pune Supergiants,59,Rising Pune Supergiants,Delhi Daredevils
LMP Simmons,PA Patel,Mumbai Indians,1,Mumbai Indians,Chennai Super Kings
DR Smith,MEK Hussey,Chennai Super Kings,22,Mumbai Indians,Chennai Super Kings
AC Gilchrist,HH Gibbs,Deccan Chargers,8,Deccan Chargers,Mumbai Indians
SR Tendulkar,ST Jayasuriya,Mumbai Indians,7,Deccan Chargers,Mumbai Indians
G Gambhir,JH Kallis,Kolkata Knight Riders,9,Mumbai Indians,Kolkata Knight Riders
AC Blizzard,SR Tendulkar,Mumbai Indians,81,Mumbai Indians,Kolkata Knight Riders
BB McCullum,G Gambhir,Kolkata Knight Riders,99,Chennai Super Kings,Kolkata Knight Riders
M Vijay,MEK Hussey,Chennai Super Kings,97,Chennai Super Kings,Kolkata Knight Riders
GC Smith,NV Ojha,Rajasthan Royals,1,Chennai Super Kings,Rajasthan Royals
M Vijay,ML Hayden,Chennai Super Kings,19,Chennai Super Kings,Rajasthan Royals
AC Gilchrist,PC Valthaty,Kings XI Punjab,25,Pune Warriors,Kings XI Punjab
JD Ryder,MK Pandey,Pune Warriors,32,Pune Warriors,Kings XI Punjab
N Saini,PC Valthaty,Kings XI Punjab,14,Royal Challengers Bangalore,Kings XI Punjab
CH Gayle,MA Agarwal,Royal Challengers Bangalore,4,Royal Challengers Bangalore,Kings XI Punjab
DA Warner,S Dhawan,Sunrisers Hyderabad,18,Sunrisers Hyderabad,Rising Pune Supergiants
AM Rahane,UT Khawaja,Rising Pune Supergiants,0,Sunrisers Hyderabad,Rising Pune Supergiants
AC Gilchrist,TL Suman,Deccan Chargers,21,Deccan Chargers,Rajasthan Royals
GC Smith,SA Asnodkar,Rajasthan Royals,5,Deccan Chargers,Rajasthan Royals
AM Rahane,R Dravid,Rajasthan Royals,44,Mumbai Indians,Rajasthan Royals
AP Tare,DR Smith,Mumbai Indians,70,Mumbai Indians,Rajasthan Royals
JP Duminy,L Ronchi,Mumbai Indians,1,Delhi Daredevils,Mumbai Indians
DA Warner,G Gambhir,Delhi Daredevils,42,Delhi Daredevils,Mumbai Indians
ML Hayden,PA Patel,Chennai Super Kings,32,Mumbai Indians,Chennai Super Kings
S Dhawan,SR Tendulkar,Mumbai Indians,92,Mumbai Indians,Chennai Super Kings
AP Tare,S Dhawan,Mumbai Indians,2,Kolkata Knight Riders,Mumbai Indians
BB McCullum,SC Ganguly,Kolkata Knight Riders,97,Kolkata Knight Riders,Mumbai Indians
AJ Finch,RV Uthappa,Pune Warriors,97,Rajasthan Royals,Pune Warriors
AM Rahane,R Dravid,Rajasthan Royals,98,Rajasthan Royals,Pune Warriors
MJ Clarke,SC Ganguly,Pune Warriors,30,Rajasthan Royals,Pune Warriors
AM Rahane,R Dravid,Rajasthan Royals,4,Rajasthan Royals,Pune Warriors
AM Rahane,UT Khawaja,Rising Pune Supergiants,19,Kolkata Knight Riders,Rising Pune Supergiants
G Gambhir,RV Uthappa,Kolkata Knight Riders,5,Kolkata Knight Riders,Rising Pune Supergiants
PA Patel,PA Reddy,Sunrisers Hyderabad,34,Sunrisers Hyderabad,Pune Warriors
MK Pandey,RV Uthappa,Pune Warriors,36,Sunrisers Hyderabad,Pune Warriors
CA Pujara,V Sehwag,Kings XI Punjab,13,Mumbai Indians,Kings XI Punjab
BR Dunk,CM Gautam,Mumbai Indians,6,Mumbai Indians,Kings XI Punjab
Q de Kock,RR Pant,Delhi Daredevils,11,Royal Challengers Bangalore,Delhi Daredevils
CH Gayle,V Kohli,Royal Challengers Bangalore,5,Royal Challengers Bangalore,Delhi Daredevils
RT Ponting,SR Tendulkar,Mumbai Indians,3,Mumbai Indians,Chennai Super Kings
M Vijay,MEK Hussey,Chennai Super Kings,10,Mumbai Indians,Chennai Super Kings
CH Gayle,SC Ganguly,Kolkata Knight Riders,70,Mumbai Indians,Kolkata Knight Riders
S Dhawan,SR Tendulkar,Mumbai Indians,61,Mumbai Indians,Kolkata Knight Riders
DJ Jacobs,SR Tendulkar,Mumbai Indians,61,Kochi Tuskers Kerala,Mumbai Indians
BB McCullum,DPMD Jayawardene,Kochi Tuskers Kerala,128,Kochi Tuskers Kerala,Mumbai Indians
S Dhawan,SR Tendulkar,Mumbai Indians,53,Mumbai Indians,Deccan Chargers
AC Gilchrist,HH Gibbs,Deccan Chargers,30,Mumbai Indians,Deccan Chargers
RG Sharma,UBT Chand,Mumbai Indians,7,Kings XI Punjab,Mumbai Indians
HM Amla,M Vijay,Kings XI Punjab,1,Kings XI Punjab,Mumbai Indians
GJ Bailey,PA Patel,Chennai Super Kings,40,Chennai Super Kings,Kings XI Punjab
S Sohal,SM Katich,Kings XI Punjab,6,Chennai Super Kings,Kings XI Punjab
DB Ravi Teja,S Dhawan,Deccan Chargers,131,Deccan Chargers,Kings XI Punjab
AC Gilchrist,PC Valthaty,Kings XI Punjab,9,Deccan Chargers,Kings XI Punjab
AM Rahane,R Dravid,Rajasthan Royals,29,Rajasthan Royals,Pune Warriors
JD Ryder,SC Ganguly,Pune Warriors,3,Rajasthan Royals,Pune Warriors
KC Sangakkara,S Dhawan,Deccan Chargers,10,Delhi Daredevils,Deccan Chargers
NV Ojha,V Sehwag,Delhi Daredevils,2,Delhi Daredevils,Deccan Chargers
DPMD Jayawardene,V Sehwag,Delhi Daredevils,135,Delhi Daredevils,Mumbai Indians
AC Blizzard,SR Tendulkar,Mumbai Indians,0,Delhi Daredevils,Mumbai Indians
CH Gayle,KL Rahul,Royal Challengers Bangalore,8,Kolkata Knight Riders,Royal Challengers Bangalore
G Gambhir,RV Uthappa,Kolkata Knight Riders,6,Kolkata Knight Riders,Royal Challengers Bangalore
EJG Morgan,JH Kallis,Kolkata Knight Riders,15,Royal Challengers Bangalore,Kolkata Knight Riders
CH Gayle,LA Pomersbach,Royal Challengers Bangalore,44,Royal Challengers Bangalore,Kolkata Knight Riders
MJ Lumb,NV Ojha,Rajasthan Royals,16,Rajasthan Royals,Deccan Chargers
AC Gilchrist,VVS Laxman,Deccan Chargers,26,Rajasthan Royals,Deccan Chargers
L Ronchi,ST Jayasuriya,Mumbai Indians,9,Royal Challengers Bangalore,Mumbai Indians
R Dravid,S Chanderpaul,Royal Challengers Bangalore,37,Royal Challengers Bangalore,Mumbai Indians
GC Smith,SA Asnodkar,Rajasthan Royals,127,Rajasthan Royals,Chennai Super Kings
PA Patel,SP Fleming,Chennai Super Kings,14,Rajasthan Royals,Chennai Super Kings
AM Rahane,R Dravid,Rajasthan Royals,45,Kolkata Knight Riders,Rajasthan Royals
G Gambhir,JH Kallis,Kolkata Knight Riders,22,Kolkata Knight Riders,Rajasthan Royals
Q de Kock,SS Iyer,Delhi Daredevils,55,Draw,Draw
CH Gayle,V Kohli,Royal Challengers Bangalore,2,Draw,Draw
M Vijay,M Vohra,Kings XI Punjab,78,Gujarat Lions,Kings XI Punjab
AJ Finch,BB McCullum,Gujarat Lions,1,Gujarat Lions,Kings XI Punjab
BB McCullum,ER Dwivedi,Gujarat Lions,7,Sunrisers Hyderabad,Gujarat Lions
DA Warner,S Dhawan,Sunrisers Hyderabad,6,Sunrisers Hyderabad,Gujarat Lions
SR Tendulkar,ST Jayasuriya,Mumbai Indians,39,Mumbai Indians,Chennai Super Kings
ML Hayden,PA Patel,Chennai Super Kings,0,Mumbai Indians,Chennai Super Kings
PA Patel,S Dhawan,Sunrisers Hyderabad,3,Sunrisers Hyderabad,Rajasthan Royals
AM Rahane,R Dravid,Rajasthan Royals,39,Sunrisers Hyderabad,Rajasthan Royals
LMP Simmons,PA Patel,Mumbai Indians,90,Mumbai Indians,Chennai Super Kings
DR Smith,MEK Hussey,Chennai Super Kings,0,Mumbai Indians,Chennai Super Kings
AC Gilchrist,SE Marsh,Kings XI Punjab,2,Pune Warriors,Kings XI Punjab
GC Smith,JD Ryder,Pune Warriors,0,Pune Warriors,Kings XI Punjab
BB McCullum,DR Smith,Chennai Super Kings,16,Delhi Daredevils,Chennai Super Kings
Q de Kock,SS Iyer,Delhi Daredevils,16,Delhi Daredevils,Chennai Super Kings
ML Hayden,PA Patel,Chennai Super Kings,22,Chennai Super Kings,Royal Challengers Bangalore
B Chipli,W Jaffer,Royal Challengers Bangalore,13,Chennai Super Kings,Royal Challengers Bangalore
SR Tendulkar,ST Jayasuriya,Mumbai Indians,71,Rajasthan Royals,Mumbai Indians
Kamran Akmal,SA Asnodkar,Rajasthan Royals,20,Rajasthan Royals,Mumbai Indians
M Vijay,MP Stoinis,Kings XI Punjab,45,Kings XI Punjab,Delhi Daredevils
Q de Kock,SV Samson,Delhi Daredevils,70,Kings XI Punjab,Delhi Daredevils
MJ Guptill,RG Sharma,Mumbai Indians,33,Gujarat Lions,Mumbai Indians
AJ Finch,BB McCullum,Gujarat Lions,0,Gujarat Lions,Mumbai Indians
M Vijay,MEK Hussey,Chennai Super Kings,61,Chennai Super Kings,Delhi Daredevils
UBT Chand,V Sehwag,Delhi Daredevils,0,Chennai Super Kings,Delhi Daredevils
HH Gibbs,SR Tendulkar,Mumbai Indians,15,Mumbai Indians,Kolkata Knight Riders
G Gambhir,MS Bisla,Kolkata Knight Riders,1,Mumbai Indians,Kolkata Knight Riders
DA Warner,UBT Chand,Delhi Daredevils,0,Kolkata Knight Riders,Delhi Daredevils
G Gambhir,MS Bisla,Kolkata Knight Riders,5,Kolkata Knight Riders,Delhi Daredevils
CH Gayle,V Kohli,Royal Challengers Bangalore,8,Mumbai Indians,Royal Challengers Bangalore
PA Patel,RG Sharma,Mumbai Indians,2,Mumbai Indians,Royal Challengers Bangalore
SR Tendulkar,ST Jayasuriya,Mumbai Indians,5,Mumbai Indians,Royal Challengers Bangalore
JH Kallis,V Kohli,Royal Challengers Bangalore,23,Mumbai Indians,Royal Challengers Bangalore
M Vijay,MEK Hussey,Chennai Super Kings,11,Kochi Tuskers Kerala,Chennai Super Kings
BB McCullum,DPMD Jayawardene,Kochi Tuskers Kerala,39,Kochi Tuskers Kerala,Chennai Super Kings
CH Gayle,PA Patel,Royal Challengers Bangalore,5,Sunrisers Hyderabad,Royal Challengers Bangalore
DA Warner,S Dhawan,Sunrisers Hyderabad,100,Sunrisers Hyderabad,Royal Challengers Bangalore
DPMD Jayawardene,MS Bisla,Kings XI Punjab,29,Rajasthan Royals,Kings XI Punjab
MJ Lumb,NV Ojha,Rajasthan Royals,109,Rajasthan Royals,Kings XI Punjab
Q de Kock,SS Iyer,Delhi Daredevils,1,Delhi Daredevils,Kolkata Knight Riders
G Gambhir,RV Uthappa,Kolkata Knight Riders,21,Delhi Daredevils,Kolkata Knight Riders
ML Hayden,S Badrinath,Chennai Super Kings,0,Chennai Super Kings,Kings XI Punjab
S Sohal,SM Katich,Kings XI Punjab,2,Chennai Super Kings,Kings XI Punjab
CA Pujara,CH Gayle,Royal Challengers Bangalore,102,Kings XI Punjab,Royal Challengers Bangalore
Mandeep Singh,SE Marsh,Kings XI Punjab,13,Kings XI Punjab,Royal Challengers Bangalore
K Goel,RS Bopara,Kings XI Punjab,18,Kings XI Punjab,Mumbai Indians
SR Tendulkar,ST Jayasuriya,Mumbai Indians,1,Kings XI Punjab,Mumbai Indians
Mohammad Hafeez,Salman Butt,Kolkata Knight Riders,14,Chennai Super Kings,Kolkata Knight Riders
PA Patel,SP Fleming,Chennai Super Kings,55,Chennai Super Kings,Kolkata Knight Riders
AJ Finch,BB McCullum,Gujarat Lions,0,Sunrisers Hyderabad,Gujarat Lions
DA Warner,S Dhawan,Sunrisers Hyderabad,137,Sunrisers Hyderabad,Gujarat Lions
MA Agarwal,SS Iyer,Delhi Daredevils,3,Kolkata Knight Riders,Delhi Daredevils
G Gambhir,RV Uthappa,Kolkata Knight Riders,31,Kolkata Knight Riders,Delhi Daredevils
AM Rahane,R Dravid,Rajasthan Royals,8,Deccan Chargers,Rajasthan Royals
PA Reddy,S Dhawan,Deccan Chargers,63,Deccan Chargers,Rajasthan Royals
M Vijay,ML Hayden,Chennai Super Kings,32,Royal Challengers Bangalore,Chennai Super Kings
JH Kallis,RV Uthappa,Royal Challengers Bangalore,2,Royal Challengers Bangalore,Chennai Super Kings
PA Patel,S Dhawan,Deccan Chargers,47,Kings XI Punjab,Deccan Chargers
Mandeep Singh,N Saini,Kings XI Punjab,7,Kings XI Punjab,Deccan Chargers
Q de Kock,SS Iyer,Delhi Daredevils,4,Rising Pune Supergiants,Delhi Daredevils
AM Rahane,UT Khawaja,Rising Pune Supergiants,31,Rising Pune Supergiants,Delhi Daredevils
S Dhawan,S Sohal,Deccan Chargers,3,Deccan Chargers,Kochi Tuskers Kerala
BB McCullum,DPMD Jayawardene,Kochi Tuskers Kerala,0,Deccan Chargers,Kochi Tuskers Kerala
AM Rahane,R Dravid,Rajasthan Royals,7,Rajasthan Royals,Kings XI Punjab
Mandeep Singh,SE Marsh,Kings XI Punjab,8,Rajasthan Royals,Kings XI Punjab
IK Pathan,K Goel,Kings XI Punjab,8,Kings XI Punjab,Mumbai Indians
L Ronchi,ST Jayasuriya,Mumbai Indians,14,Kings XI Punjab,Mumbai Indians
SR Tendulkar,ST Jayasuriya,Mumbai Indians,2,Delhi Daredevils,Mumbai Indians
DA Warner,G Gambhir,Delhi Daredevils,36,Delhi Daredevils,Mumbai Indians
AM Rahane,MDKJ Perera,Rajasthan Royals,22,Rajasthan Royals,Delhi Daredevils
DA Warner,UBT Chand,Delhi Daredevils,39,Rajasthan Royals,Delhi Daredevils
