id,name,role,batting_style,bowls,nationality,dob,debut,info,current_team
1,MS Dhoni,Wicketkeeper batsman,Right-handed,Right-arm medium,Indian,1981/07/07,2008,None,Rising Pune Supergiants
7,Murali Vijay,Batsman,Right-handed,Right-arm off-spin,Indian,1984/04/01,2009,None,Kings XI Punjab
8,Ravichandran Ashwin,Bowling All-rounder,Right-handed,Right-arm off-spin,Indian,1986/09/17,2009,None,Rising Pune Supergiants
9,Ravindra Jadeja,All-rounder,Left-handed,Left-arm orthodox spin,Indian,1988/12/06,2008,None,Gujarat Lions
10,Shadab Jakati,Bowler,Left-handed,Left-arm orthodox spin,Indian,1980/11/27,2009,None,Gujarat Lions
14,Suresh Raina,Batsman,Left-handed,Right-arm off-spin,Indian,1986/11/27,2008,None,Gujarat Lions
16,Wriddhiman Saha,Wicketkeeper batsman,Right-handed,None,Indian,1984/10/24,2008,None,Kings XI Punjab
19,George Bailey,Batsman,Right-handed,Right-arm medium,Australian,1982/09/07,2009,None,Rising Pune Supergiants
24,Francois du Plessis,All-rounder,Right-handed,Right-arm leg spin,South African,1984/07/13,2012,None,Rising Pune Supergiants
25,Dwayne Bravo,All-rounder,Right-handed,Right-arm medium fast,West Indian,1983/10/07,2008,None,Gujarat Lions
26,Albie Morkel,All-rounder,Left-handed,Right-arm medium fast,South African,1981/06/10,2008,None,Rising Pune Supergiants
30,Amit Mishra,Bowler,Right-handed,Right-arm leg spin,Indian,1982/11/24,2008,None,Delhi Daredevils
32,Ankit Sharma,Bowling All-rounder,Left-handed,Left-arm orthodox spin,Indian,1991/04/20,2012,None,Rising Pune Supergiants
34,Ashish Reddy,Bowler,Right-handed,Right-arm medium,Indian,1981/02/24,2012,None,Sunrisers Hyderabad
38,Ishant Sharma,Bowler,Right-handed,Right-arm medium fast,Indian,1988/09/02,2008,None,Rising Pune Supergiants
41,Shikhar Dhawan,Batsman,Left-handed,None,Indian,1985/12/05,2008,None,Sunrisers Hyderabad
44,Parthiv Patel,Wicketkeeper batsman,Left-handed,None,Indian,1985/03/09,2008,None,Mumbai Indians
48,Ashok Dinda,Bowler,Right-handed,Right-arm medium fast,Indian,1984/03/25,2008,None,Rising Pune Supergiants
49,Irfan Pathan,All-rounder,Left-handed,Left-arm medium fast,Indian,1984/10/27,2008,None,Rising Pune Supergiants
52,Naman Ojha,Wicketkeeper batsman,Right-handed,None,Indian,1983/07/20,2009,None,Sunrisers Hyderabad
53,Pawan Negi,Bowling All-rounder,Left-handed,Left-arm orthodox spin,Indian,1983/01/06,2012,None,Delhi Daredevils
57,Shahbaz Nadeem,Bowler,Left-handed,Left-arm orthodox spin,Indian,1989/08/12,2011,None,Delhi Daredevils
59,Umesh Yadav,Bowler,Right-handed,Right-arm medium fast,Indian,1987/10/25,2010,None,Kolkata Knight Riders
60,Unmukt Chand,Batsman,Right-handed,Right-arm off-spin,Indian,1993/03/26,2011,None,Mumbai Indians
61,Varun Aaron,Bowler,Right-handed,Right-arm fast,Indian,1989/10/29,2011,None,Royal Challengers Bangalore
69,Bipul Sharma,All-rounder,Left-handed,Left-arm orthodox spin,Indian,1983/09/28,2010,None,Sunrisers Hyderabad
72,Mandeep Singh,All-rounder,Right-handed,Right-arm medium,Indian,1991/12/18,2010,None,Royal Challengers Bangalore
74,Paras Dogra,Batsman,Right-handed,Right-arm leg spin,Indian,1984/11/19,2010,None,Gujarat Lions
76,Piyush Chawla,Bowling All-rounder,Right-handed,Right-arm leg spin,Indian,1988/12/24,2008,None,Kolkata Knight Riders
77,Praveen Kumar,Bowler,Right-handed,Right-arm medium,Indian,1986/10/02,2008,None,Gujarat Lions
78,Rajagopal Sathish,All-rounder,Right-handed,Right-arm medium,Indian,1981/01/14,2010,None,Kolkata Knight Riders
82,Vikramjeet Malik,Bowler,Right-handed,Right-arm medium,Indian,1983/05/09,2009,None,Royal Challengers Bangalore
84,Gautam Gambhir,Batsman,Left-handed,Right-arm leg spin,Indian,1981/10/14,2008,None,Kolkata Knight Riders
85,Iqbal Abdulla,Bowler,Left-handed,Left-arm orthodox spin,Indian,1989/12/02,2008,None,Royal Challengers Bangalore
86,Jaydev Unadkat,Bowler,Left-handed,Left-arm medium fast,Indian,1991/10/18,2010,None,Kolkata Knight Riders
91,Pradeep Sangwan,Bowler,Right-handed,Left-arm medium fast,Indian,1990/11/05,2008,None,Gujarat Lions
92,Rajat Bhatia,All-rounder,Right-handed,Right-arm medium fast,Indian,1979/10/22,2008,None,Rising Pune Supergiants
93,Sarabjit Ladda,Bowler,Right-handed,Right-arm leg spin,Indian,1986/07/10,2010,None,Gujarat Lions
94,Mohammed Shami,Bowler,Right-handed,Right-arm medium,Indian,1990/03/09,2009,None,Delhi Daredevils
96,Yusuf Pathan,All-rounder,Right-handed,Right-arm off-spin,Indian,1982/11/17,2008,None,Kolkata Knight Riders
98,Abu Nechim,Bowler,Right-handed,Right-arm medium fast,Indian,1988/11/05,2012,None,Royal Challengers Bangalore
99,Aditya Tare,Wicketkeeper batsman,Right-handed,None,Indian,2012/02/27,2010,None,Sunrisers Hyderabad
100,Ambati Rayudu,Wicketkeeper batsman,Right-handed,Right-arm off-spin,Indian,1985/09/23,2010,None,Mumbai Indians
101,Dhawal Kulkarni,Bowler,Right-handed,Right-arm medium fast,Indian,1988/12/10,2008,None,Gujarat Lions
102,Dinesh Karthik,Wicketkeeper batsman,Right-handed,None,Indian,1985/06/01,2008,None,Gujarat Lions
103,Harbhajan Singh,Bowling All-rounder,Right-handed,Right-arm off-spin,Indian,1980/07/03,2008,None,Mumbai Indians
105,Pawan Suyal,Bowler,Right-handed,Left-arm medium,Indian,1989/10/15,2013,None,Delhi Daredevils
107,Rohit Sharma,Batsman,Right-handed,Right-arm off-spin,Indian,1987/04/30,2008,None,Mumbai Indians
108,Suryakumar Yadav,Batsman,Right-handed,Right-arm medium,Indian,1990/09/14,2012,None,Kolkata Knight Riders
110,Tirumalasetti Suman,Batsman,Right-handed,Right-arm off-spin,Indian,1983/12/15,2009,None,Sunrisers Hyderabad
111,Yuzvendra Chahal,Bowler,Right-handed,Right-arm leg spin,Indian,1990/07/23,2013,None,Royal Challengers Bangalore
112,RP Singh,Bowler,Right-handed,Left-arm medium,Indian,1985/12/06,2008,None,Rising Pune Supergiants
113,Yuvraj Singh,All-rounder,Left-handed,Left-arm orthodox spin,Indian,1981/12/12,2008,None,Sunrisers Hyderabad
115,Ashish Nehra,Bowler,Right-handed,Left-arm medium fast,Indian,1979/04/29,2008,None,Sunrisers Hyderabad
116,Bhuvneshwar Kumar,Bowler,Right-handed,Right-arm medium,Indian,1990/12/05,2011,None,Sunrisers Hyderabad
118,Eklavya Dwivedi ,Wicketkeeper batsman,Right-handed,None,Indian,1988/07/22,-1,None,Gujarat Lions
123,Manish Pandey,Batsman,Right-handed,Right-arm off-spin,Indian,1989/09/10,2008,None,Kolkata Knight Riders
127,Robin Uthappa,Batsman,Right-handed,Right-arm medium,Indian,1985/11/11,2008,None,Kolkata Knight Riders
135,Ajinkya Rahane,Batsman,Right-handed,Right-arm medium,Indian,1988/06/06,2008,None,Rising Pune Supergiants
140,Deepak Chahar,Bowler,Right-handed,Right-arm medium,Indian,1992/08/07,2012,None,Rising Pune Supergiants
148,Stuart Binny,All-rounder,Right-handed,Right-arm medium,Indian,1984/06/03,2010,None,Royal Challengers Bangalore
151,Abhimanyu Mithun,Bowler,Right-handed,Right-arm medium fast,Indian,1989/10/25,2009,None,Sunrisers Hyderabad
157,Harshal Patel,Bowler,Right-handed,Right-arm medium,Indian,1990/11/23,2012,None,Royal Challengers Bangalore
158,Mayank Agarwal,Batsman,Right-handed,None,Indian,1991/02/18,2011,None,Delhi Daredevils
162,Sreenath Aravind,Bowler,Left-handed,Left-arm medium fast,Indian,1984/04/08,2011,None,Royal Challengers Bangalore
163,Saurabh Tiwary,Batsman,Left-handed,None,Indian,1989/12/30,2008,None,Rising Pune Supergiants
164,Virat Kohli,Batsman,Right-handed,Right-arm medium,Indian,1988/11/05,2008,None,Royal Challengers Bangalore
165,Zaheer Khan,Bowler,Right-handed,Left-arm medium fast,Indian,1978/10/07,2008,None,Delhi Daredevils
166,Vinay Kumar,Bowler,Right-handed,Right-arm medium fast,Indian,1984/02/12,2008,None,Mumbai Indians
167,Aaron Finch,Batsman,Right-handed,Left-arm medium,Australian,1986/11/17,2010,None,Gujarat Lions
169,Morne Morkel,Bowler,Left-handed,Right-arm fast,South African,1984/10/06,2009,None,Kolkata Knight Riders
170,David Warner,Batsman,Left-handed,Right-arm leg spin,Australian,1986/10/27,2009,None,Sunrisers Hyderabad
172,Kevin Pietersen,Batsman,Right-handed,Right-arm off-spin,English,1980/06/27,2009,None,Rising Pune Supergiants
177,Andre Russell,All-rounder,Right-handed,Right-arm fast,West Indian,1988/04/29,2012,None,Kolkata Knight Riders
179,Chris Lynn,Batsman,Right-handed,Left-arm orthodox spin,Australian,1990/04/10,2012,None,Kolkata Knight Riders
180,Dale Steyn,Bowler,Right-handed,Right-arm fast,South African,1983/06/27,2008,None,Gujarat Lions
182,JP Duminy,Batting All-rounder,Left-handed,Right-arm off-spin,South African,1984/04/14,2009,None,Delhi Daredevils
187,David Miller,Batsman,Left-handed,Right-arm off-spin,South African,1989/06/10,2012,None,Kings XI Punjab
191,Shaun Marsh,Batsman,Left-handed,Left-arm orthodox spin,Australian,1983/07/09,2008,None,Kings XI Punjab
193,James Faulkner,All-rounder,Right-handed,Left-arm medium fast,Australian,1990/04/29,2011,None,Gujarat Lions
197,Eoin Morgan,Batsman,Left-handed,Right-arm medium,English,1986/09/10,2010,None,Sunrisers Hyderabad
201,Shakib Al Hasan,All-rounder,Left-handed,Left-arm orthodox spin,Bangladeshi,1987/03/24,2011,None,Kolkata Knight Riders
202,Brendon McCullum,Wicketkeeper batsman,Right-handed,Right-arm medium,New Zealander,1981/09/27,2008,None,Gujarat Lions
203,Sunil Narine,Bowler,Left-handed,Right-arm off-spin,West Indian,1988/05/26,2012,None,Kolkata Knight Riders
204,Marchant de Lange,Bowler,Right-handed,Right-arm medium fast,South African,1990/10/13,2012,None,Mumbai Indians
210,Kieron Pollard,All-rounder,Right-handed,Right-arm medium,West Indian,1987/05/12,2010,None,Mumbai Indians
211,Lasith Malinga,Bowler,Right-handed,Right-arm fast,Sri Lankan,1983/08/28,2009,None,Mumbai Indians
213,Mitchell Johnson,Bowling All-rounder,Left-handed,Left-arm fast,Australian,1981/11/02,2012,None,Kings XI Punjab
215,Thisara Perera,All-rounder,Left-handed,Right-arm medium fast,Sri Lankan,1989/04/03,2010,None,Rising Pune Supergiants
221,Mitchell Marsh,All-rounder,Right-hand bat,Right-arm medium,Australian,1991/10/20,2010,None,Rising Pune Supergiants
227,Shane Watson,All-rounder,Right-handed,Right-arm medium fast,Australian,1981/06/17,2008,None,Royal Challengers Bangalore
228,Shaun Tait,Bowler,Right-handed,Right-arm fast,Australian,1983/02/22,2010,None,Kolkata Knight Riders
231,Brad Hogg,All-rounder,Left-handed,Left-arm chinaman,Australian,1971/02/06,2012,None,Kolkata Knight Riders
233,AB de Villiers,Wicketkeeper batsman,Right-handed,Right-arm medium,South African,1984/02/17,2008,None,Royal Challengers Bangalore
236,Chris Gayle,All-rounder,Left-handed,Right-arm off-spin,West Indian,1979/09/21,2009,None,Royal Challengers Bangalore
253,Gurkeerat Mann Singh,Batsman,Right-handed,Right-arm off-spin,Indian,1990/06/29,2012,None,Kings XI Punjab
258,Sanju Samson,Wicketkeeper batsman,Right-handed,None,Indian,1994/11/11,2013,None,Delhi Daredevils
261,Kuldeep Yadav,All-rounder,Left-handed,Left-arm orthodox spin,Indian,1994/12/14,2012,None,Kolkata Knight Riders
265,Jaydev Shah,Batsman,Left-handed,Right-arm off-spin,Indian,1983/05/04,2012,None,Gujarat Lions
271,Steve Smith,All-rounder,Right-handed,Right-arm leg spin,Australian,1989/06/02,2012,None,Rising Pune Supergiants
276,Karun Nair,Batting All-rounder,Right-handed,Right-arm off-spin,Indian,1991/12/06,2013,None,Delhi Daredevils
282,Glenn Maxwell,All-rounder,Right-handed,Right-arm off-spin,Australian,1988/10/14,2012,None,Kings XI Punjab
297,Kedar Jadhav,Batsman,Right-handed,Right-arm off-spin,Indian,1985/03/26,2010,None,Royal Challengers Bangalore
307,Tim Southee,Bowler,Right-handed,Right-arm medium fast,New Zealander,1988/12/11,-1,None,Mumbai Indians
388,Moises Henriques,All-rounder,Right-handed,Right-arm medium fast,Australian,1987/02/01,2009,None,Sunrisers Hyderabad
395,Jaskaran Singh,Bowler,Right-hand bat,Right-arm medium,Indian,1989/09/04,-1,None,Rising Pune Supergiants
412,Anureet Singh,Bowler,Right-handed,Right-arm medium,Indian,1982/02/26,2009,None,Kings XI Punjab
413,Dwayne Smith,Batting All-rounder,Right-handed,Right-arm medium,West Indian,1983/04/12,2008,None,Gujarat Lions
431,Martin Guptill,None,None,None,New Zealander,1986/09/30,-1,None,Mumbai Indians
434,Adam Milne,Bowler,Right-hand,Right-arm fast,New Zealander,1992/04/13,-1,None,Royal Challengers Bangalore
440,Kane Williamson,Batsman,Right-hand,Right-arm off-spin,New Zealander,1990/08/08,2015,None,Sunrisers Hyderabad
456,Hashim Amla,Batsman,Right-hand bat,None,South African,1983/03/31,-1,None,Kings XI Punjab
457,Farhaan Behardien,Batsman,Right-handed,Right-arm fast-medium,South African,1983/10/09,-1,None,Kings XI Punjab
490,Mitchell Starc,Bowler,Left-handed,Left-arm fast-medium,Australian,1990/01/30,2014,None,Royal Challengers Bangalore
509,Jos Buttler,Wicketkeeper-batsman,Right-handed,None,English,1990/09/08,-1,None,Mumbai Indians
590,Samuel Badree,Bowler,Right-hand bat,Right-arm leg spin,West Indian,1981/03/09,2013,None,Royal Challengers Bangalore
595,Lendl Simmons,Batsman,Right-handed,Right-arm medium-fast,West Indian,1985/01/25,2014,None,Mumbai Indians
730,Mitchell McClenaghan,Bowler,Left-handed,Left-arm medium-fast,New Zealander,1986/06/11,-1,None,Mumbai Indians
748,John Hastings,All-rounder,Right-handed,Right-arm medium,Australian,1985/11/04,-1,None,Kolkata Knight Riders
773,Colin Munro,Batsmen,Left-handed,Right arm medium,New Zealander,1987/03/11,2015,None,Kolkata Knight Riders
798,Kane Richardson,Bowler,Right-hand bat,Right-arm medium fast,Australian,1991/02/12,2013,None,Royal Challengers Bangalore
834,Quinton de Kock,Wicketkeeper batsman,Left-handed,None,South African,1992/12/17,-1,None,Delhi Daredevils
836,Chris Morris,All-rounder,Right-hand bat,Right-arm medium fast,South African,1987/04/30,2013,None,Delhi Daredevils
840,Nathan Coulter-Nile,Bowler,Right-hand bat,Right-arm fast,Australian,1987/10/11,-1,None,Delhi Daredevils
869,David Wiese,All-rounder,Right-hand,Right-arm medium-fast,South African,1985/05/18,2015,None,Royal Challengers Bangalore
898,Imran Tahir,Bowler ,Right-handed,Leg-spinner,South African,1979/03/27,2014,None,Delhi Daredevils
913,Ben Cutting,Bowler,Right-handed,Right-arm fast-medium,Australian,1987/01/30,2014,None,Sunrisers Hyderabad
932,Peter Handscomb,Batsman,Right-hand bat,None,Australian,1991/04/26,-1,None,Rising Pune Supergiants
948,Usman Khawaja,Batsman,Left-hand bat,None,Australian,1986/12/18,-1,None,Rising Pune Supergiants
958,Adam Zampa,Bowler,Right-hand bat,Legbreak googly,Australian,1992/03/31,-1,None,Rising Pune Supergiants
964,Marcus Stoinis,All-rounder,Right-handed,Right-arm medium-fast,Australian,1989/08/16,-1,None,Kings XI Punjab
968,Corey Anderson,All-rounder,Left-handed,Left-arm medium fast,New Zealander,1990/12/13,-1,None,Mumbai Indians
969,Trent Boult,Bowler,Right-hand,Left-arm fast-medium,New Zealander,1989/07/22,2015,None,Sunrisers Hyderabad
1020,Travis Head,Batsman,Left-handed,Right-arm off-break,Australian,1993/12/29,-1,None,Royal Challengers Bangalore
1075,Jason Holder,All-rounder,Right-hand bat,Right-arm medium fast,West Indian,1991/11/05,2013,None,Kolkata Knight Riders
1083,Vijay Shankar,All-rounder,Right-hand bat,Right-arm offbreak,Indian,1991/01/26,-1,None,Sunrisers Hyderabad
1084,Baba Aparajith,All-rounder,Right-hand bat,Right-arm offbreak,Indian,1994/07/08,-1,None,Rising Pune Supergiants
1085,Manan Vohra,Batsman,Right-hand bat,Right-arm medium,Indian,1993/07/18,2013,None,Kings XI Punjab
1086,Siddarth Kaul,Bowler,Right-handed,Right-arm medium fast,Indian,1990/05/19,2013,None,Sunrisers Hyderabad
1088,Rishi Dhawan,All-rounder,Right-hand bat,Right-arm medium fast,Indian,1990/02/19,2013,None,Kings XI Punjab
1090,Ishwar Pandey,Bowler,Right-hand bat,Right-arm medium,Indian,1989/08/15,-1,None,Rising Pune Supergiants
1093,Parveez Rasool,Bowling All-rounder,Right-handed,Right-arm off-spin,Indian,1989/02/13,2013,None,Royal Challengers Bangalore
1105,Kyle Abbott,All-rounder,Right-handed,Right-arm medium fast,South African,1987/06/18,2015,None,Kings XI Punjab
1106,Ankit Rajpoot,Bowler,Right-handed,Right-arm medium,Indian,1993/12/04,2013,None,Kolkata Knight Riders
1107,Mohit Sharma,Bowler,Right-handed,Right-arm medium,Indian,1991/12/19,2013,None,Kings XI Punjab
1112,Sandeep Sharma,Bowler,Right-handed,Right-arm medium,Indian,1993/05/18,2013,None,Kings XI Punjab
1113,Axar Patel,All-rounder,Left-handed,Left-arm orthodox spin,Indian,1994/01/20,2014,None,Kings XI Punjab
1114,Pravin Tambe,All-rounder,Right-handed,Right-arm leg spin,Indian,1971/10/08,2013,None,Gujarat Lions
1115,Sachin Baby,Batsman,Left-handed,Right-arm off-spin,Indian,1988/12/18,2013,None,Royal Challengers Bangalore
1116,Sheldon Jackson,Wicketkeeper batsman,Right-handed,None,Indian,1986/09/27,-1,None,Kolkata Knight Riders
1118,Karn Sharma,All-rounder,Left-handed,Right-arm leg spin,Indian,1987/10/23,2013,None,Sunrisers Hyderabad
1124,Jasprit Bumrah,Bowler,Right-handed,Right-arm medium,Indian,1993/12/06,2013,None,Mumbai Indians
1125,Lokesh Rahul,Wicketkeeper batsman,Right-handed,None,Indian,1992/04/18,2013,None,Royal Challengers Bangalore
1299,Chris Jordan,None,None,None,English,1988/10/04,-1,None,Royal Challengers Bangalore
1475,Scott Boland,None,Right-hand bat,Right-arm fast-medium,Australian,1989/04/11,-1,None,Rising Pune Supergiants
1480,Andrew Tye,All-rounder,Right-handed,Right-arm medium fast,Australian,1986/12/12,-1,None,Gujarat Lions
1555,Ricky Bhui,Batsman,Right-handed,Right-arm leg spin,Indian,1996/09/29,-1,None,Sunrisers Hyderabad
1556,Deepak Hooda,Bowling All-rounder,Right-handed,Right-arm off-spin,Indian,1995/04/19,2015,None,Sunrisers Hyderabad
1558,Ankush Bains,Wicketkeeper batsman,Right-handed,None,Indian,1995/12/16,-1,None,Rising Pune Supergiants
1562,Akhil Herwadkar,Batsman ,Left-handed,Off-spin and medium pace,Indian,1994/10/31,-1,None,Delhi Daredevils
1563,Shreyas Iyer,Batsman,Right-handed,Right-arm off-break,Indian,1994/12/06,2015,None,Delhi Daredevils
1564,Sarfaraz Khan,Batsman,Right-hand,Legbreak,Indian,1997/10/22,2015,None,Royal Challengers Bangalore
1594,Mustafizur Rahman,None,None,None,Bangladeshi,1995/09/06,-1,None,Sunrisers Hyderabad
1739,A Mishra,Bowler,Right-handed,Right-arm medium,Indian,1991/11/11,-1,None,Gujarat Lions
1740,Jayant Yadav,Bowler,Right-handed,Right-arm off-spin,Indian,1990/01/22,2015,None,Delhi Daredevils
1745,Shardul Thakur,Bowler,Right-handed,Right-arm medium,Indian,1991/10/16,2015,None,Kings XI Punjab
1748,Shreyas Gopal,All-rounder,Right-handed,Right-arm leg spin,Indian,1993/09/04,-1,None,Mumbai Indians
1751,Chama Milind,Bowler,Left-handed,Left-arm medium,Indian,1994/09/04,-1,None,Delhi Daredevils
1841,Jerome Taylor,None,None,None,West Indian,1984/06/22,-1,None,Mumbai Indians
2722,Carlos Brathwaite,All-rounder,Right-handed,Right-arm fast-medium,West Indian,1988/07/18,-1,None,Delhi Daredevils
2731,Pratyush Singh,Batsman,Right-handed,Right-arm leg-break,Indian,1994/09/04,-1,None,Delhi Daredevils
2732,Nikhil Naik,Wicketkeeper-batsman,Right-handed,None,Indian,1994/11/09,-1,None,Kings XI Punjab
2737,Akshay Wakhare,Bowler,Right-handed,Right-arm off-break,Indian,1985/10/03,-1,None,Mumbai Indians
2738,Nitish Rana,Batsman,Left-handed,Right-arm off-break,Indian,1993/12/27,-1,None,Mumbai Indians
2739,Siddhesh Lad,Batsman,Right-handed,RIght-arm off-spin,Indian,1992/05/23,-1,None,Mumbai Indians
2740,Hardik Pandya,All-rounder,Right-hand,Right-arm medium fast,Indian,1993/10/11,-1,None,Mumbai Indians
2741,Jagadeesha Suchith,Bowler,Left-hand,Slow left-arm orthodox,Indian,1994/01/16,-1,None,Mumbai Indians
2743,KC Cariappa,Bowler,Right-handed,Leg-break,Indian,1994/04/13,2015,None,Kings XI Punjab
2745,Pradeep Sahu,Batsman,Right-handed,Leg-spin,Indian,1985/08/21,-1,None,Kings XI Punjab
2746,Barinder Sran,Bowler,None,Left-arm medium,Indian,1992/12/10,-1,None,Sunrisers Hyderabad
2756,Sam Billings,None,None,None,English,1991/06/15,-1,None,Delhi Daredevils
2964,Khaleel Ahmed,Bowler ,Right-handed,Left-arm medium pace,Indian,1997/12/05,-1,None,Delhi Daredevils
2966,Armaan Jaffer,Batsman,Right-handed,None,Indian,1998/10/25,-1,None,Kings XI Punjab
2970,Mahipal Lomror,All-rounder,Left-handed,Left-arm spin,Indian,1999/11/16,-1,None,Delhi Daredevils
2972,Rishabh Pant,Wicketkeeper-batsman ,Left-handed,None,Indian,1997/10/04,-1,None,Delhi Daredevils
2975,Ishan Kishan,None,None,None,Indian,1998/07/18,-1,None,Gujarat Lions
3177,Akshdeep Nath,All-rounder,Right-hand bat,Right-arm medium-fast,Indian,1993/05/10,-1,None,Gujarat Lions
3178,Shivil Kaushik,None,None,None,Indian,1995/07/09,-1,None,Gujarat Lions
3179,Umang Sharma,None,None,None,Indian,1989/10/20,-1,None,Gujarat Lions
3180,Swapnil Singh,Bowling all-rounder,Right-handed,Left-arm spin,Indian,1991/01/22,-1,None,Kings XI Punjab
3181,Manan Sharma,All -rounder,Left-hand bat,left-arm spin,Indian,1991/03/19,-1,None,Kolkata Knight Riders
3182,Kishore Kamath,All-rounder,Right-handed,Right-arm leg spin,Indian,1995/01/31,-1,None,Mumbai Indians
3183,Krunal Pandya,All-rounder,Left-hand bat,Left-arm orthodox,Indian,1991/03/24,-1,None,Mumbai Indians
3184,Deepak Punia,Bowler,Right-handed,Right-arm medium,Indian,1993/09/27,-1,None,Mumbai Indians
3185,Jitesh Sharma,Wicketkeeper-batsman,Right-handed,None,Indian,1993/10/22,-1,None,Mumbai Indians
3186,Nathu Singh,None,None,None,Indian,1995/09/08,-1,None,Mumbai Indians
3187,Murugan Ashwin,Legbreak googly,Right-handed,leg-break,Indian,1990/09/08,-1,None,Rising Pune Supergiants
3188,Praveen Dubey,Bowling all-rounder,Right-handed,None,Indian,1993/07/01,-1,None,Royal Challengers Bangalore
3189,Akshay Karnewar,None,None,None,Indian,1992/10/12,-1,None,Royal Challengers Bangalore
3190,Vikas Tokas,None,None,None,Indian,1986/10/16,-1,None,Royal Challengers Bangalore
3309,Tabraiz Shamsi,Bowler,None,Left-Arm Chinaman,South African,1990/02/18,-1,None,Royal Challengers Bangalore
